customer_id,gender,age,income,became_member_on,days_as_member,bogo_received,bogo_viewed,bogo_completed,bogo_rewarded,bogo_viewed_rate,bogo_conversion_rate,discount_received,discount_viewed,discount_completed,discount_rewarded,discount_viewed_rate,discount_conversion_rate,info_received,info_viewed,info_viewed_rate,total_received,total_viewed,total_completed,overall_view_rate,overall_conversion_rate,total_rewarded,num_transactions,offer_num_transactions,actual_num_transactions,total_spent,offer_spent,actual_spent,avg_spent,min_spent,max_spent,recency
68be06ca386d4c31939f3a4f0e3dd783,,,,2017-02-12,687,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,5.0,1.0,0.4,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.4,5.0,9.0,1.0,8.0,20.4,2.12,18.28,2.27,0.06,5.21,9.667
0610b486422d4921ae7d2bf64640c50b,F,55.0,112000.0,2017-07-15,534,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,77.01,0.0,77.01,25.67,21.51,32.28,7.333
38fe809add3b4fcf9315a9694bb96ff5,,,,2018-07-12,172,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0,0.0,6.0,0.0,6.0,14.3,0.0,14.3,2.38,1.34,4.09,9.667
78afa995795e4d85b5d9ceeca43f5fef,F,75.0,100000.0,2017-05-09,601,3.0,3.0,2.0,20.0,1.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,0.5,20.0,7.0,2.0,5.0,159.27,41.61,117.66,22.75,17.78,29.72,7.417
a03223e636434f42ac4c3df47e8bac43,,,,2017-08-04,514,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.667,0.0,2.0,1.0,0.5,5.0,3.0,0.0,0.6,0.0,0.0,3.0,0.0,3.0,4.65,0.0,4.65,1.55,0.06,3.5,8.5
e2127556f4f64592b11af22de27a7932,M,68.0,70000.0,2018-04-26,249,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,4.0,3.0,2.0,0.75,0.667,7.0,3.0,1.0,2.0,57.73,18.42,39.31,19.24,17.88,21.43,7.25
8ec6ce2a7e7949b1bf142def7d0e0586,,,,2017-09-25,462,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68617ca6246f4fbc85e91a2a49552598,,,,2017-10-02,455,3.0,2.0,0.0,0.0,0.667,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.8,0.0,0.0,2.0,0.0,2.0,0.24,0.0,0.24,0.12,0.05,0.19,9.083
389bc3fa690240e798340f5a15918d5c,M,65.0,53000.0,2018-02-09,325,4.0,4.0,3.0,15.0,1.0,0.75,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,5.0,1.0,0.833,19.0,3.0,3.0,0.0,36.43,36.43,0.0,12.14,9.54,15.63,8.333
8974fc5686fe429db53ddde067b88302,,,,2016-11-22,769,3.0,2.0,0.0,5.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.75,0.0,5.0,6.0,0.0,6.0,15.62,0.0,15.62,2.6,0.18,5.5600000000000005,7.417
c4863c7985cf408faee930f111475da3,,,,2017-08-24,494,1.0,1.0,1.0,10.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.333,10.0,9.0,1.0,8.0,66.41,54.61,11.799999999999995,7.38,0.13,54.61,9.5
148adfcaa27d485b82f323aaaad036bd,,,,2015-09-19,1199,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.25,3.0,8.0,1.0,7.0,17.11,5.79,11.32,2.14,0.71,5.79,9.667
2eeac8d8feae4a8cad5a6af0499a211d,M,58.0,51000.0,2017-11-11,415,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,3.0,2.0,1.0,0.667,0.5,2.0,4.0,1.0,3.0,15.62,7.14,8.48,3.9,0.87,7.14,7.917
aa4862eba776480b8bb9c68455b8c2e1,F,61.0,57000.0,2017-09-11,476,3.0,3.0,2.0,25.0,1.0,0.667,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,0.4,25.0,6.0,2.0,4.0,85.55,24.89,60.66,14.26,10.08,23.3,8.75
