customer_id,num_transactions,total_spent,offer_spent,offer_num_transactions,actual_num_transactions,actual_spent,avg_spent,min_spent,max_spent
0009655768c64bdeb2e877511632db8f,8,127.6,0.0,0.0,8.0,127.6,15.95,8.57,28.16
00116118485d4dfda04fdbaba9a87b5c,3,4.09,0.0,0.0,3.0,4.09,1.36,0.2,3.19
0011e0d4e6b944f998e987f904e8c1e5,5,79.46,33.980000000000004,2.0,3.0,45.480000000000004,15.89,8.96,23.03
0020c2b971eb4e9188eac86d93036a77,8,196.86,17.63,1.0,7.0,179.23000000000002,24.61,17.24,33.86
0020ccbbb6d84e358d3414a3ff76cffd,12,154.05,36.5,3.0,9.0,117.54999999999998,12.84,6.8100000000000005,20.08
003d66b6608740288d6cc97a6903f4f0,18,48.34,8.67,2.0,16.0,39.67000000000001,2.69,0.44,7.41
00426fe3ffde4c6b9cb9ad6d077a13ea,17,68.51,16.97,1.0,16.0,51.53999999999999,4.03,0.37,16.97
004b041fbfe44859945daa2c7f79ee64,6,138.36,47.85,2.0,4.0,90.51000000000002,23.06,19.48,27.92
004c5799adbf42868b9cff0396190900,12,347.38,101.94,3.0,9.0,245.43999999999994,28.95,22.22,43.21
005500a7188546ff8a767329a2f7c76a,4,20.36,0.0,0.0,4.0,20.360000000000003,5.09,1.62,9.03
0056df74b63b4298809f0b375a304cf4,5,144.14,27.86,1.0,4.0,116.27999999999999,28.83,27.59,29.89
0063def0f9c14bc4805322a488839b32,3,7.21,0.0,0.0,3.0,7.210000000000001,2.4,2.06,2.76
0069a50874d846438e58acff5e594725,5,33.5,7.97,1.0,4.0,25.53,6.7,0.6000000000000001,16.2
00715b6e55c3431cb56ff7307eb19675,15,375.12,0.0,0.0,15.0,375.11999999999995,25.01,11.49,41.78
0082fd87c18f45f2be70dbcbb0fb8aad,7,121.85,28.189999999999998,2.0,5.0,93.66,17.41,8.95,24.59
00840a2ca5d2408e982d56544dc14ffd,17,62.93,11.16,2.0,15.0,51.769999999999996,3.7,0.29,8.4
00857b24b13f4fe0ad17b605f00357f5,4,6.26,0.0,0.0,4.0,6.26,1.56,0.7000000000000001,2.81
008d7088107b468893889da0ede0df5c,7,16.18,0.0,0.0,7.0,16.180000000000003,2.31,0.23,4.07
0091d2b6a5ea4defaa8393e4e816db60,12,279.16,115.44000000000001,4.0,8.0,163.71999999999997,23.26,12.84,42.83
0092a132ead946ceb30d11a1ed513d20,3,2.54,0.0,0.0,3.0,2.54,0.85,0.48,1.32
0099bf30e4cb4265875266eb3eb25eab,9,105.83,5.76,1.0,8.0,100.07,11.76,1.13,68.82
009d10c2c38a4fd795a7bc6ddbbddb78,7,11.78,0.0,0.0,7.0,11.780000000000001,1.68,0.07,3.65
00a794f62b9a48beb58f8f6c02c2f1a6,11,166.4,11.27,1.0,10.0,155.13,15.13,5.96,26.39
00ad4c2cace94f67a6354ec90d6c6f45,8,20.73,0.0,0.0,8.0,20.73,2.59,0.51,5.75
00ae03011f9f49b8a4b3e6d416678b0b,8,218.05,46.37,2.0,6.0,171.67999999999995,27.26,13.24,39.48
00aee28bbb3848dd8a31f0c91dc267dd,5,20.53,0.0,0.0,5.0,20.53,4.11,1.88,8.82
00b18b535d6d4f779dea4dc9ac451478,5,133.25,74.98,3.0,2.0,58.269999999999996,26.65,23.97,34.3
00b3400e4ff64ee68ce9ada1d0c222f0,10,163.92,22.28,1.0,9.0,141.64,16.39,9.8,23.88
00b3c376db2a4115af3aef34a02f61d6,8,219.63,19.44,1.0,7.0,200.19,27.45,19.44,33.85
00b5fb9d842d437e83033ad9e36f7148,3,7.74,0.0,0.0,3.0,7.74,2.58,0.91,3.85
00b901d68f8f4fd68075184cd0f772d2,4,53.55,0.0,0.0,4.0,53.550000000000004,13.39,9.66,20.19
00bbce6533f44ddeaf4dd32bcab55441,7,77.21,25.18,2.0,5.0,52.03000000000001,11.03,5.39,18.51
00bc42a62f884b41a13cc595856cf7c3,8,150.64,66.69,4.0,4.0,83.94999999999999,18.83,13.63,23.99
00bc983061d3471e8c8e74d31b7c8b6f,3,63.5,14.11,1.0,2.0,49.38999999999999,21.17,14.11,27.99
00c20a9202d5475190b31a24de6fb06d,8,164.01,58.459999999999994,3.0,5.0,105.55,20.5,14.41,25.2
00c2f812f4604c8893152a5c6572030e,5,124.09,0.0,0.0,5.0,124.09,24.82,12.97,39.06
00c32a104f0c4065b5b552895fb22e34,2,6.98,0.0,0.0,2.0,6.9799999999999995,3.49,1.05,5.93
00c5a385c71a4d3db5e9b4e31e430943,2,2.59,0.0,0.0,2.0,2.59,1.3,1.03,1.56
00c6035df45840038a72766c6d27a0db,11,241.55,57.44,3.0,8.0,184.10999999999999,21.96,8.16,36.65
00c91f31f5f74e769fa7a359b63e1a9f,14,134.74,21.05,2.0,12.0,113.69000000000004,9.62,4.2,16.96
00ceaf16a40341e6996d543d04daa2c2,9,26.98,0.0,0.0,9.0,26.98,3.0,0.1,6.86
00cf1bbec83f4a658f8994e556db4633,3,64.27,33.28,1.0,2.0,30.99000000000001,21.42,13.8,33.28
00cf471ed1aa42a8bdde5561d67da2b1,8,26.18,0.0,0.0,8.0,26.18,3.27,0.65,8.41
00d6dc87be4146ceb47fcd4baaaf6477,12,334.64,127.27,4.0,8.0,207.37000000000006,27.89,19.38,42.75
00d791e20c564add8056498e40eb56cc,19,59.62,23.75,3.0,16.0,35.87,3.14,0.23,10.38
00d7c95f793a4212af44e632fdc1e431,7,162.42,54.33,2.0,5.0,108.08999999999999,23.2,18.58,29.39
00d91c5919514448bc4f718e4e3f26ab,2,44.6,25.38,1.0,1.0,19.219999999999995,22.3,19.22,25.38
00e20b4ca129458aaab0f4727ef3513a,20,191.55,135.37,2.0,18.0,56.17999999999998,9.58,0.13,125.32
00e52682848542c3a6f59b7824e9a5c5,2,23.07,7.32,1.0,1.0,15.75,11.54,7.32,15.75
00e8d701c583461e81cc10053681a12b,7,30.98,2.98,1.0,6.0,28.0,4.43,2.07,9.8
00e9f403afa641889cd034ee7c7ca6e9,17,614.59,13.1,1.0,16.0,601.49,36.15,2.23,439.37
00ed7e22b32749cfafbfd88592d401d4,11,236.96,23.52,1.0,10.0,213.43999999999997,21.54,14.64,32.55
00ee2ca6421c4af0aeca60a1b3e00f6c,1,4.03,0.0,0.0,1.0,4.03,4.03,4.03,4.03
00ee69db83964d6da32f8109b32a1ce7,5,15.79,0.0,0.0,5.0,15.790000000000001,3.16,1.38,5.88
00fac72fd6ad448e8019b175267023df,10,186.23,50.56,2.0,8.0,135.67,18.62,11.42,26.69
00fbb9b5edb94f02afbaf1eb49bb4d7d,3,80.1,0.0,0.0,3.0,80.1,26.7,15.07,33.07
00fdd4416dec40b49180814c0a7c8d76,3,76.65,31.16,1.0,2.0,45.49000000000001,25.55,20.35,31.16
0100dbd4e8554aa69b73b6ac0547f6bf,3,6.55,0.0,0.0,3.0,6.55,2.18,1.4,3.01
0103de989e084e0fab400e80678d7591,11,144.97,0.0,0.0,11.0,144.97,13.18,4.82,21.31
0106d19a26af41288035afc4b9b6c2c2,10,21.24,6.64,1.0,9.0,14.599999999999998,2.12,0.31,6.64
01162252405b4524a8fa1bf8e6d5f04b,18,129.86,21.41,2.0,16.0,108.44999999999999,7.21,1.44,13.92
01176ee7289b48e39ee6261d5c071a07,5,20.2,0.0,0.0,5.0,20.200000000000003,4.04,0.42,10.31
0118fbb66dd2443a9dd407d2c99a7672,3,64.04,0.0,0.0,3.0,64.03999999999999,21.35,17.53,27.57
0121fe001b7a404fa9cbe486f8944baf,6,191.68,31.4,1.0,5.0,160.28,31.95,23.18,48.09
0123564dbaf144a88a418c33b6350c17,6,176.74,21.74,1.0,5.0,155.0,29.46,21.74,32.85
012ee55a90bd4d969b0d0cdfaffdf6ab,11,9.98,0.0,0.0,11.0,9.98,0.91,0.14,1.77
013094309e1b49e095c098df412d125d,20,69.18,24.66,3.0,17.0,44.519999999999996,3.46,0.14,12.07
01380da907f8495496679c795867790b,8,154.99,32.03,2.0,6.0,122.96000000000001,19.37,8.58,25.83
013f2c82889f4641a9b847a48861cce0,9,186.54,59.42,3.0,6.0,127.11999999999999,20.73,12.77,33.38
0141d3870a424c03a20390040efad826,4,6.32,0.0,0.0,4.0,6.32,1.58,0.44,3.7
01443a2afce54939a323c978f467c540,16,417.93,130.14,4.0,12.0,287.78999999999996,26.12,15.97,40.7
